,title,image_url,price
0,Mopar 4892339AA Oil Filter,https://m.media-amazon.com/images/I/712+xq4gzCL._AC_UL320_.jpg,7.86
1,"K&N 4-Inch Round Tapered Air Intake Filter - Washable, High Performance, 3"" or 3-1/2"" or 4"" adjustable fitting",https://m.media-amazon.com/images/I/81fmmwwrPCL._AC_UL320_.jpg,31.99
2,"Pertronix 40011 Flame-Thrower Ignition Coil, 40,000 Volt 1.5 Ohm, 12 Volt, Black",https://m.media-amazon.com/images/I/61LTx6SrQVL._AC_UL320_.jpg,27.7
3,A-Premium High Heat Spark Plug Ignition Wires Set of 8 Compatible with Chevrolet Chevy GMC Silverado Suburban Sierra Tahoe Yukon - V8 Engine,https://m.media-amazon.com/images/I/710VADRNG-L._AC_UL320_.jpg,25.99
4,"Rough Country Shock Boot with Clamp - Black, 1PC",https://m.media-amazon.com/images/I/71TDX0flgbL._AC_UL320_.jpg,5.95
5,"K&N Premium Oil Filter: Protects your Engine: Compatible with Select CHEVROLET/DODGE/FORD/LINCOLN Vehicle Models (See Product Description for Full List of Compatible Vehicles), HP-2010",https://m.media-amazon.com/images/I/61fH7B7wc+L._AC_UL320_.jpg,16.99
6,"K&N Premium Oil Filter: Protects your Engine: Compatible with Select HYUNDAI/KIA/SUBARU/HONDA Vehicle Models (See Product Description for Full List of Compatible Vehicles), HP-1004",https://m.media-amazon.com/images/I/71zQ+u8JgtL._AC_UL320_.jpg,15.8
7,WIX 57047 Oil Filter,https://m.media-amazon.com/images/I/61-6OFBRy5L._AC_UL320_.jpg,11.19
8,"K&N Premium Oil Filter: Protects your Engine: Compatible with Select TOYOTA/LEXUS/SUZUKI/CHEVROLET Vehicle Models (See Product Description for Full List of Compatible Vehicles), HP-1003",https://m.media-amazon.com/images/I/71OAiBD1j2L._AC_UL320_.jpg,15.99
9,Spectre Performance 5339 PCV Breather Grommet,https://m.media-amazon.com/images/I/61wqBpMamgL._AC_UL320_.jpg,8.99
10,"CTEK (56-304) Comfort Connect Extension Cable, 8.2 Feet",https://m.media-amazon.com/images/I/41Vzic0j9RL._AC_UL320_.jpg,18.98
11,Stant Superstat ® Premium Thermostat,https://m.media-amazon.com/images/I/71NUGfjeFnL._AC_UL320_.jpg,11.04
12,Spectre - SPE-4954 Performance 4954 Air Cleaner Riser Kit,https://m.media-amazon.com/images/I/61lPNOLrOcL._AC_UL320_.jpg,12.99
13,"NGK Spark Plug, NGK CR7E, ea, 1",https://m.media-amazon.com/images/I/71EvZl8NbGL._AC_UL320_.jpg,5.95
14,"K&N Premium Oil Filter: Protects your Engine: Compatible with Select 2001-2019 CHEVROLET/GMC/HUMMER (Silverado, Express, Kodiak, 2500, 3500, 4500, 5500, 6500, Sierra, Savana, Topkick, H1), HP-3003",https://m.media-amazon.com/images/I/61p6BVhy3vL._AC_UL320_.jpg,15.99
15,"NGK Spark Plug, NGK CMR5H, ea, 1",https://m.media-amazon.com/images/I/619fMxemc8L._AC_UL320_.jpg,7.86
16,"XS Power 586 Tall Brass Post Adaptor (M6 Thread), GOLD,SILVER",https://m.media-amazon.com/images/I/61gvr44ISZL._AC_UL320_.jpg,12.49
17,VP Racing Fuels 3044 Deluxe Filler Hose,https://m.media-amazon.com/images/I/51kibD3v-yL._AC_UL320_.jpg,10.96
18,"Melling-10295 Oil Pump, Wet Sump, Internal, Standard Volume, High Pressure, GM LS-Series, Each",https://m.media-amazon.com/images/I/61vFwEXoxTL._AC_UL320_.jpg,130.0
19,"NGK 5534 Standard Spark Plug - BPR7ES, 1 Pack",https://m.media-amazon.com/images/I/81ML17CEZtL._AC_UL320_.jpg,5.49
20,"Spectre Performance 4299 .75"" Push-In Breather with Grommet",https://m.media-amazon.com/images/I/61ia5m0zx2L._AC_UL320_.jpg,8.99
21,"Mighty Mite 12-427 32 GPH Holley Mighty Mite Electric Fuel Pump, 4-7 PSI",https://m.media-amazon.com/images/I/51ckLRoh7PL._AC_UL320_.jpg,61.43
22,"MSD 32829 Super Conductor Spark Plug Wire Set, Red",https://m.media-amazon.com/images/I/71dihjdCbXL._AC_UL320_.jpg,98.96
23,"WIX Filters - 33046 Fuel (Complete In-Line) Filter, Pack of 1",https://m.media-amazon.com/images/I/516C0oKM7kL._AC_UL320_.jpg,6.97
