,title,image_url,price
0,"CKAuto Tire Valve Stem Caps, Black, 4 pcs/Pack, Anodized Aluminum Tire Valve Cap Set, Corrosion Resistant, Universal Stem Covers for Cars Trucks Motorcycles SUVs and Bikes",https://m.media-amazon.com/images/I/71RRj6kPMbL._AC_UL320_.jpg,5.09
1,"Airmoto Tire Inflator Portable Air Compressor - Air Pump For Car Tires with Digital Pressure Gauge, LED Light and Auto Shut-Off Function - Cordless Pump for Car, Motorcycle, Bicycle, Balls and More",https://m.media-amazon.com/images/I/61S+WknSZAL._AC_UL320_.jpg,63.99
2,"AstroAI Tire Inflator Portable Air Compressor Tire Air Pump for Car Tires - Car Accessories, 12V DC Auto Pump with Digital Pressure Gauge, Emergency LED Light for Bicycle, Balloons, Yellow",https://m.media-amazon.com/images/I/716tSu7xkqL._AC_UL320_.jpg,31.97
3,Tire Valve Stem Cap Cover - (5 Pack) Tire Air Cap Metal with Plastic Liner Corrosion Resistant Leak-Proof American Flag for Car Truck Motorcycle Bike Black,https://m.media-amazon.com/images/I/719upJkGeBL._AC_UL320_.jpg,6.99
4,"DEWALT 20V MAX Tire Inflator, Compact and Portable, Automatic Shut Off, LED Light, Bare Tool Only (DCC020IB)",https://m.media-amazon.com/images/I/61H+TS-8V+L._AC_UL320_.jpg,108.81
5,"Chemical Guys Tire Kicker Sprayable Extra Glossy Tire Shine (Works on Rubber, Vinyl & Plastic) Safe for Cars, Trucks, Motorcycles, RVs & More, 16 fl oz",https://m.media-amazon.com/images/I/718F35fx94L._AC_UL320_.jpg,9.97
6,"AstroAI Digital Tire Pressure Gauge with Inflator, 250 PSI Air Chuck & Compressor Accessories Heavy Duty with Quick Connect Coupler, 0.1 Display Resolution, Car Accessories, 1pack",https://m.media-amazon.com/images/I/71Z-72jLtBL._AC_UL320_.jpg,23.99
7,"AstroAI Tire Pressure Gauge Digital 0-150PSI (Accurate in 0.1 Increments), 4 Settings Stocking Stuffers for Car Truck Bicycle with Backlight LCD and Presta Valve Adaptor, Sliver",https://m.media-amazon.com/images/I/61P0I7H4fUL._AC_UL320_.jpg,8.98
8,"MAXXHAUL 70472 Solid Rubber Heavy Duty Black Wheel Chock 2-Pack, 8"" x 4"" x 6""",https://m.media-amazon.com/images/I/615BMDN7W3L._AC_UL320_.jpg,15.99
9,"Tire Repair Kit - 68pcs Heavy Duty Tire Plug Kit, Universal Tire Repair Tools to Fix Punctures and Plug Flats Patch Kit for car Motorcycle, Truck, ARB，ATV, Tractor, RV, SUV, Trailer",https://m.media-amazon.com/images/I/71BbSF41pdL._AC_UL320_.jpg,19.99
10,"CAR GUYS Tire Shine Spray | High Gloss & Satin Finish | Non-Greasy, UV Protection, Long-Lasting, Quick Drying | Dressing for Black Tires, Wheels, & Rubber | 18oz Kit with Applicator Pad",https://m.media-amazon.com/images/I/61D+uQzbzwL._AC_UL320_.jpg,17.99
11,"Tire Inflator Portable Air Compressor - 4X Faster 160 PSI Air Pump for Car Tires - Wireless Car Tire Inflator with Pressure Gauge - Portable Tire Inflator for Car, Pickup, Motor and More",https://m.media-amazon.com/images/I/711RS-k0pTL._AC_UL320_.jpg,59.99
12,"Tire Inflator Portable Air Compressor, 150 PSI Cordless Mini Bike Tire Pump, Air Pump for Auto, Motorcycle, Bicycle, Balls with Pressure Gauge&LED Light, Black, Medium",https://m.media-amazon.com/images/I/817l44q8OlL._AC_UL320_.jpg,19.99
13,"Tire Inflator Portable Air Compressor - 150PSI & 10000mAh Cordless Air Pump with Digital Tire Pressure Gauge, Accurate Dual LCD Display & LED Light, for Car/Motorcycle/E-Bike/Ball",https://m.media-amazon.com/images/I/61GugDs4cnL._AC_UL320_.jpg,22.09
